model,best_val_f1,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,runtime_sec
encoder_frozen_head,0.9508526719182457,0.946,0.9463989570263577,0.946,0.9460406370224423,0.9447175059297805,0.9459569708383266,0.9451748536400544,5.500514989718795
encoder_zero_shot_similarity,,0.838,0.8386772677773772,0.838,0.8362561270109963,0.8363980412241286,0.8305495185918914,0.8312291986921891,0.40697034634649754
decoder_zero_shot,,0.687,0.8106203319906041,0.687,0.687852068681775,0.790866653825681,0.7012170636958772,0.683095887837134,36.280964916571975
decoder_few_shot,,0.689,0.8112729301166665,0.689,0.6763724708508553,0.7900976818190992,0.7094964026870807,0.6794292365935524,38.41882340423763
classical_tfidf_logreg,,0.963,0.963241594800561,0.963,0.9630617725687699,0.9637174872954409,0.9618887136090526,0.9627438399870749,1.599385304376483
classical_tfidf_linear_svm,,0.965,0.9653715756733604,0.965,0.9651083792303242,0.9652046477806996,0.9646376965783745,0.9648345681090504,0.1793432179838419
classical_tfidf_nb,,0.956,0.9572342617851621,0.956,0.9559411604663361,0.956788104681452,0.9529770974474363,0.9541453071880059,0.1588538233190775
